0
"(datetime.datetime(2023, 1, 8, 2, 59, 15), '341_DIGESTION', 'DIGESTORA_12', '341PIC1206', 'PID1/MODE.TARGET', 'OPERADOR', 'NEW VALUE = MAN, OLD VALUE = ROUT')"
"(datetime.datetime(2023, 1, 8, 2, 59, 15), '341_DIGESTION', 'DIGESTORA_12', '341PIC1206', 'PID1/MODE.TARGET', 'OPERADOR', 'NEW VALUE = MAN, OLD VALUE = MAN')"
"(datetime.datetime(2023, 1, 8, 2, 59, 16), '341_DIGESTION', 'DIGESTORA_12', '341PIC1206', 'PID1/MODE.TARGET', 'OPERADOR', 'NEW VALUE = MAN, OLD VALUE = MAN')"
"(datetime.datetime(2023, 1, 8, 2, 59, 16), '341_DIGESTION', 'DIGESTORA_12', '341PIC1206', 'PID1/MODE.TARGET', 'OPERADOR', 'NEW VALUE = MAN, OLD VALUE = MAN')"
"(datetime.datetime(2023, 1, 8, 3, 3, 29), '341_DIGESTION', 'DIGESTORA_12', '341PIC1206', 'PID1/MODE.TARGET', 'OPERADOR', 'NEW VALUE = ROUT, OLD VALUE = MAN')"
"(datetime.datetime(2023, 1, 8, 3, 5, 39), '341_DIGESTION', 'DIGESTORA_12', '341PIC1206', 'PID1/MODE.TARGET', 'OPERADOR', 'NEW VALUE = MAN, OLD VALUE = ROUT')"
"(datetime.datetime(2023, 1, 8, 3, 5, 40), '341_DIGESTION', 'DIGESTORA_12', '341PIC1206', 'PID1/MODE.TARGET', 'OPERADOR', 'NEW VALUE = MAN, OLD VALUE = MAN')"
"(datetime.datetime(2023, 1, 8, 3, 5, 40), '341_DIGESTION', 'DIGESTORA_12', '341PIC1206', 'PID1/MODE.TARGET', 'OPERADOR', 'NEW VALUE = MAN, OLD VALUE = MAN')"
"(datetime.datetime(2023, 1, 8, 3, 5, 40), '341_DIGESTION', 'DIGESTORA_12', '341PIC1206', 'PID1/MODE.TARGET', 'OPERADOR', 'NEW VALUE = MAN, OLD VALUE = MAN')"
"(datetime.datetime(2023, 1, 8, 3, 6, 21), '341_DIGESTION', 'DIGESTORA_12', '341PIC1206', 'PID1/OUT.CV', 'OPERADOR', 'NEW VALUE = 13.93, OLD VALUE = 0')"
"(datetime.datetime(2023, 1, 8, 3, 6, 54), '341_DIGESTION', 'DIGESTORA_12', '341PIC1206', 'PID1/OUT.CV', 'OPERADOR', 'NEW VALUE = 18, OLD VALUE = 13.93')"
"(datetime.datetime(2023, 1, 8, 3, 7, 20), '341_DIGESTION', 'DIGESTORA_12', '341PIC1206', 'PID1/OUT.CV', 'OPERADOR', 'NEW VALUE = 20, OLD VALUE = 18')"
"(datetime.datetime(2023, 1, 8, 3, 7, 38), '341_DIGESTION', 'DIGESTORA_12', '341PIC1206', 'PID1/OUT.CV', 'OPERADOR', 'NEW VALUE = 22, OLD VALUE = 20')"
"(datetime.datetime(2023, 1, 8, 3, 8, 18), '341_DIGESTION', 'DIGESTORA_12', '341PIC1206', 'PID1/OUT.CV', 'OPERADOR', 'NEW VALUE = 25, OLD VALUE = 22')"
